date,shift,line,planned_output,actual_output,defect_qty,downtime_min,downtime_reason,operator,source_system
2026-04-13,A,Line1,1047,1020,30,12,Quality Issue,Operator D,Legacy Excel Log
2026-04-19,A,Line2,837,845,0,58,Equipment Failure,Operator A,Google Form
2026-04-30,A,Line3,846,792,2,22,Quality Issue,Operator D,Google Form
2026-02-20,B,Line4,924,880,14,69,Material Shortage,Operator D,Google Form
2026-03-03,B,Line1,1116,974,3,40,Material Shortage,Operator E,Google Form
2026-04-26,B,Line1,856,793,11,71,Equipment Failure,Operator B,Legacy Excel Log
2026-03-17,A,Line1,939,901,3,0,No Downtime,Operator E,Google Form
2026-02-16,A,Line4,862,900,19,71,Material Shortage,Operator B,Legacy Excel Log
2026-04-29,A,Line1,1135,1074,19,60,Equipment Failure,Operator D,Google Form
2026-01-14,B,Line2,968,972,22,55,Changeover,Operator B,Google Form
2026-01-24,C,Line4,816,722,18,51,Equipment Failure,Operator E,Google Form
2026-03-31,A,Line3,872,841,6,77,Changeover,Operator A,Legacy Excel Log
2026-01-18,C,Line4,890,931,2,75,Quality Issue,Operator A,Manual CSV Upload
2026-01-26,B,Line1,899,852,15,22,Material Shortage,Operator C,Manual CSV Upload
2026-04-20,A,Line3,1121,1023,13,100,Changeover,Operator C,Manual CSV Upload
2026-01-18,A,Line3,1107,1010,3,34,Material Shortage,Operator D,Google Form
2026-02-02,C,Line1,1007,932,15,26,Equipment Failure,Operator B,Google Form
2026-01-02,B,Line1,1162,1019,0,59,Material Shortage,Operator E,Legacy Excel Log
2026-04-13,B,Line2,1086,1076,18,0,No Downtime,Operator B,Manual CSV Upload
2026-04-30,C,Line3,1083,1044,14,0,No Downtime,Operator B,Legacy Excel Log
2026-03-20,A,Line4,1185,1184,15,29,Cleaning,Operator D,Google Form
2026-03-02,B,Line1,1160,1198,27,0,No Downtime,Operator C,Google Form
2026-02-22,B,Line4,1136,1020,16,17,Quality Issue,Operator B,Legacy Excel Log
2026-01-04,C,Line2,885,763,1,68,Quality Issue,Operator E,Legacy Excel Log
2026-03-01,B,Line1,1200,1187,5,66,Material Shortage,Operator C,Legacy Excel Log
2026-01-07,A,Line4,1066,1043,12,107,Equipment Failure,Operator C,Manual CSV Upload
2026-04-19,A,Line3,838,838,8,55,Changeover,Operator A,Legacy Excel Log
2026-01-21,C,Line4,896,861,21,78,Equipment Failure,Operator B,Manual CSV Upload
2026-03-19,A,Line1,1170,1128,8,50,Changeover,Operator A,Legacy Excel Log
2026-04-20,B,Line3,987,959,28,46,Changeover,Operator D,Legacy Excel Log
2026-04-25,A,Line1,839,732,2,69,Equipment Failure,Operator C,Legacy Excel Log
2026-03-21,C,Line1,830,792,19,110,Equipment Failure,Operator A,Google Form
2026-01-17,B,Line1,802,766,1,71,Quality Issue,Operator E,Google Form
2026-02-14,C,Line1,815,847,21,90,Changeover,Operator B,Google Form
2026-02-16,B,Line4,997,885,13,105,Equipment Failure,Operator B,Legacy Excel Log
2026-02-25,B,Line4,1113,1155,19,24,Changeover,Operator E,Google Form
2026-02-18,A,Line2,1064,1113,31,84,Equipment Failure,Operator C,Manual CSV Upload
2026-02-01,C,Line1,857,826,6,66,Changeover,Operator E,Google Form
2026-04-02,C,Line4,827,768,8,30,Changeover,Operator C,Google Form
2026-01-17,B,Line4,1145,1082,6,77,Equipment Failure,Operator A,Google Form
2026-01-14,A,Line1,1132,1130,27,23,Material Shortage,Operator B,Google Form
2026-04-17,C,Line2,923,941,8,0,No Downtime,Operator D,Google Form
2026-04-22,B,Line4,1025,935,4,62,Quality Issue,Operator E,Legacy Excel Log
2026-04-25,D,Line2,952,974,26,66,Changeover,Operator A,Manual CSV Upload
2026-02-08,C,Line4,922,904,26,60,Equipment Failure,Operator D,Manual CSV Upload
2026-01-11,A,Line4,1027,976,23,29,Quality Issue,Operator B,Manual CSV Upload
2026-01-27,C,Line4,1038,1023,10,33,Quality Issue,Operator B,Manual CSV Upload
2026-02-13,C,Line1,861,796,17,58,Equipment Failure,Operator B,Legacy Excel Log
2026-02-19,B,Line3,803,764,15,57,Quality Issue,Operator E,Legacy Excel Log
2026-04-24,A,Line1,847,857,23,78,Changeover,Operator C,Legacy Excel Log
2026-02-13,A,Line3,872,905,21,41,Changeover,Operator A,Manual CSV Upload
2026-02-12,A,Line3,1029,999,14,48,Changeover,Operator D,Legacy Excel Log
2026-01-20,B,Line1,1099,1040,27,103,Equipment Failure,Operator D,Google Form
2026-03-12,A,Line3,1098,935,27,36,Changeover,Operator C,Google Form
2026-01-23,B,Line1,954,841,23,108,Equipment Failure,Operator C,Manual CSV Upload
2026-03-16,B,Line1,881,866,1,46,Quality Issue,Operator B,Manual CSV Upload
2026-04-11,C,Line3,800,796,23,43,Cleaning,Operator B,Manual CSV Upload
2026-02-22,C,,806,846,12,81,Equipment Failure,Operator E,Legacy Excel Log
2026-03-23,A,Line1,803,805,13,86,Equipment Failure,Operator C,Legacy Excel Log
2026-03-30,C,Line4,804,806,19,60,Cleaning,Operator A,Legacy Excel Log
2026-02-12,C,Line3,1071,988,9,29,Material Shortage,Operator A,Legacy Excel Log
2026-03-14,A,Line2,1137,1056,0,0,No Downtime,Operator A,Legacy Excel Log
2026-02-26,A,Line1,821,767,22,100,Changeover,Operator B,Legacy Excel Log
2026-03-06,B,Line1,1010,1031,15,0,No Downtime,Operator E,Manual CSV Upload
2026-04-01,B,Line4,1050,953,5,0,No Downtime,Operator E,Google Form
2026-01-27,C,Line2,990,893,7,40,Cleaning,Operator A,Legacy Excel Log
2026-02-16,C,Line2,1115,1141,25,59,Quality Issue,Operator B,Legacy Excel Log
2026-02-09,B,Line1,1139,1088,8,50,Equipment Failure,Operator E,Manual CSV Upload
2026-01-28,A,Line3,1047,912,10,62,Equipment Failure,Operator C,Google Form
2026-02-24,C,Line1,1181,1116,8,58,Material Shortage,Operator C,Manual CSV Upload
2026-03-23,B,Line4,1192,1144,25,77,Changeover,Operator D,Manual CSV Upload
2026-02-07,C,Line2,960,883,23,39,Material Shortage,Operator D,Legacy Excel Log
2026-01-21,B,Line3,894,805,11,68,Quality Issue,Operator C,Manual CSV Upload
2026-02-04,C,Line3,1140,1127,28,60,Quality Issue,Operator B,Manual CSV Upload
2026-03-01,B,Line2,991,981,1,32,Material Shortage,Operator D,Google Form
2026-01-17,C,Line4,838,861,21,94,Changeover,Operator E,Manual CSV Upload
2026-02-03,C,Line3,970,890,19,23,Changeover,Operator B,Google Form
2026-02-14,C,Line2,928,850,20,12,Cleaning,Operator A,Legacy Excel Log
2026-03-27,A,Line4,1135,1083,23,59,Cleaning,Operator B,Legacy Excel Log
2026-02-04,B,Line1,849,850,5,52,Material Shortage,Operator E,Legacy Excel Log
2026-03-28,A,Line3,995,922,18,0,No Downtime,Operator B,Manual CSV Upload
2026-01-06,C,Line4,1119,1082,25,44,Equipment Failure,Operator B,Duplicate CSV Upload
2026-01-27,B,Line2,978,924,12,60,Changeover,Operator A,Manual CSV Upload
2026-01-07,A,Line2,1131,1028,12,22,Material Shortage,Operator A,Manual CSV Upload
2026-03-10,C,Line4,949,890,23,0,No Downtime,Operator C,Manual CSV Upload
2026-01-27,C,Line3,983,1022,14,74,Equipment Failure,Operator E,Legacy Excel Log
2026-01-10,A,Line2,1078,1004,5,20,Changeover,Operator E,Legacy Excel Log
2026-02-01,A,Line4,1088,977,24,84,Material Shortage,Operator C,Manual CSV Upload
2026-01-13,A,Line2,1134,1159,4,0,No Downtime,Operator D,Legacy Excel Log
2026-02-17,B,Line3,1011,920,1,0,No Downtime,Operator B,Legacy Excel Log
2026-01-19,C,Line2,1034,1024,13,48,Equipment Failure,Operator E,Manual CSV Upload
2026-01-13,B,Line1,1156,1062,3,54,Cleaning,Operator B,Manual CSV Upload
2026-04-05,A,Line3,1076,968,5,13,Quality Issue,Operator B,Google Form
2026-02-03,A,Line3,1105,973,22,88,Equipment Failure,Operator A,Legacy Excel Log
2026-01-20,A,Line2,871,797,14,103,Equipment Failure,Operator C,Legacy Excel Log
2026-04-23,A,Line2,937,819,10,36,Equipment Failure,Operator B,Google Form
2026-01-21,B,Line4,860,811,3,59,Changeover,Operator A,Legacy Excel Log
2026-04-26,C,Line3,1053,987,5,46,Quality Issue,Operator B,Google Form
2026-02-18,A,Line4,1047,1043,16,19,Cleaning,Operator A,Duplicate CSV Upload
2026-01-03,A,Line4,1004,954,22,42,Equipment Failure,Operator D,Legacy Excel Log
2026-02-14,C,Line4,928,825,23,53,Material Shortage,Operator E,Legacy Excel Log
2026-03-27,A,Line3,1178,1209,1,99,Changeover,Operator B,Legacy Excel Log
2026-03-02,A,Line4,948,826,11,99,Changeover,Operator D,Google Form
2026-01-14,C,Line1,1075,975,22,78,Material Shortage,Operator E,Legacy Excel Log
2026-04-11,C,Line4,1179,1029,30,51,Changeover,Operator E,Legacy Excel Log
2026-04-16,C,Line1,1127,1159,11,50,Material Shortage,Operator E,Manual CSV Upload
2026-02-06,C,Line4,932,962,11,52,Cleaning,Operator C,Manual CSV Upload
2026-04-11,B,Line4,1055,1075,20,32,Changeover,Operator E,Google Form
2026-04-09,B,Line1,1170,1188,1,97,Changeover,Operator E,Google Form
2026-04-27,C,Line1,1090,940,18,52,Material Shortage,Operator C,Manual CSV Upload
2026-01-02,A,Line1,1122,1141,23,59,Changeover,Operator C,Google Form
2026-01-20,A,Line3,983,987,14,107,Equipment Failure,Operator E,Google Form
2026-02-27,B,Line1,802,731,17,51,Cleaning,Operator D,Manual CSV Upload
2026-03-29,C,Line1,948,850,23,46,Cleaning,Operator E,Duplicate CSV Upload
2026-04-11,C,Line2,878,833,17,27,Cleaning,Operator D,Manual CSV Upload
2026-01-09,B,Line2,1012,888,15,51,Equipment Failure,Operator C,Manual CSV Upload
2026-03-26,B,,928,879,6,0,No Downtime,Operator A,Google Form
2026-02-05,C,Line2,1026,957,6,64,Changeover,Operator D,Google Form
2026-03-14,A,Line4,1128,1125,15,0,No Downtime,Operator C,Google Form
2026-01-05,A,Line3,1089,948,14,34,Equipment Failure,Operator B,Manual CSV Upload
2026-03-26,C,Line3,1023,1069,4,68,Material Shortage,Operator D,Legacy Excel Log
2026-02-05,B,Line1,1046,1074,0,0,No Downtime,Operator D,Google Form
2026-03-20,B,Line2,1002,1009,0,113,Equipment Failure,Operator D,Legacy Excel Log
2026-01-19,C,Line3,1127,958,1,44,Equipment Failure,Operator C,Manual CSV Upload
2026-04-05,C,,1011,913,7,45,Material Shortage,Operator D,Google Form
2026-03-01,C,Line4,1118,1075,3,45,Cleaning,Operator C,Manual CSV Upload
2026-04-12,B,Line1,907,905,5,58,Cleaning,Operator C,Legacy Excel Log
2026-03-22,A,Line2,1050,1017,5,0,No Downtime,Operator E,Legacy Excel Log
2026-02-06,B,Line3,963,952,11,38,Material Shortage,Operator E,Manual CSV Upload
2026-02-20,C,Line2,814,770,5,43,Material Shortage,Operator B,Manual CSV Upload
2026-04-25,B,Line3,1087,1103,32,110,Equipment Failure,Operator C,Manual CSV Upload
2026-02-02,A,Line1,834,760,11,15,Material Shortage,Operator A,Legacy Excel Log
2026-03-21,B,Line3,994,1007,22,0,No Downtime,Operator A,Manual CSV Upload
2026-02-12,B,Line2,924,968,6,15,Cleaning,Operator A,Google Form
2026-01-25,B,Line1,988,973,16,51,Material Shortage,Operator D,Legacy Excel Log
2026-01-06,B,Line2,869,888,7,36,Cleaning,Operator C,Legacy Excel Log
2026-01-24,A,Line2,887,902,1,17,Cleaning,Operator D,Legacy Excel Log
2026-04-27,B,Line2,822,719,12,80,Material Shortage,Operator A,Legacy Excel Log
2026-04-16,C,Line4,1051,1095,31,50,Material Shortage,Operator A,Google Form
2026-01-05,C,Line3,861,756,782,33,Changeover,Operator B,Google Form
2026-03-15,C,Line2,1084,1007,9,78,Changeover,Operator A,Legacy Excel Log
2026-04-09,B,Line3,1045,1065,13,71,Material Shortage,Operator A,Google Form
2026-04-10,C,Line1,970,892,21,40,Material Shortage,Operator C,Manual CSV Upload
2026-01-18,B,Line2,1011,870,13,83,Changeover,Operator D,Google Form
2026-03-19,B,Line1,1129,1085,19,44,Quality Issue,Operator A,Google Form
2026-01-14,B,Line4,1084,934,26,30,Material Shortage,Operator D,Manual CSV Upload
2026-02-07,B,Line3,885,784,0,52,Cleaning,Operator C,Legacy Excel Log
2026-04-01,C,Line2,1143,1066,11,59,Material Shortage,Operator E,Legacy Excel Log
2026-02-08,A,Line1,1187,1148,19,63,Quality Issue,Operator E,Legacy Excel Log
2026-04-25,C,Line3,875,753,5,66,Material Shortage,Operator E,Legacy Excel Log
2026-04-27,A,Line3,880,792,2,56,Cleaning,Operator A,Google Form
2026-02-06,B,Line3,963,952,11,38,Material Shortage,Operator E,Duplicate CSV Upload
2026-01-23,C,Line4,839,796,12,97,Equipment Failure,Operator B,Manual CSV Upload
2026-02-04,C,Line1,1079,1081,7,77,Equipment Failure,Operator A,Google Form
2026-01-06,A,Line4,862,776,14,31,Equipment Failure,Operator B,Google Form
2026-02-01,B,Line4,1195,1121,3,60,Equipment Failure,Operator A,Duplicate CSV Upload
2026-04-09,A,Line1,-293,952,13,77,Material Shortage,Operator E,Legacy Excel Log
2026-03-10,B,Line3,1019,936,1012,51,Changeover,Operator B,Google Form
2026-04-17,C,Line1,925,935,19,29,Changeover,Operator A,Google Form
2026-04-26,C,Line4,917,818,21,0,No Downtime,Operator D,Manual CSV Upload
2026-01-08,A,Line1,-194,982,25,65,Material Shortage,Operator C,Manual CSV Upload
2026-02-19,C,,1063,951,3,0,No Downtime,Operator A,Manual CSV Upload
2026-03-04,A,Line3,998,919,23,0,No Downtime,Operator B,Google Form
2026-01-26,A,Line3,930,904,5,60,Quality Issue,Operator B,Manual CSV Upload
2026-01-26,A,Line2,1092,1087,25,88,Equipment Failure,Operator B,Legacy Excel Log
2026-02-08,C,Line2,1120,1009,11,0,No Downtime,Operator A,Legacy Excel Log
2026-04-05,B,Line3,828,778,11,27,Changeover,Operator E,Manual CSV Upload
2026-02-15,A,Line1,1077,990,24,52,Quality Issue,Operator A,Legacy Excel Log
2026-04-21,A,Line2,978,1003,13,0,No Downtime,Operator A,Google Form
2026-02-27,C,Line3,854,882,13,104,Equipment Failure,Operator E,Manual CSV Upload
2026-04-15,C,Line2,1150,1109,4,0,No Downtime,Operator B,Google Form
2026-02-01,B,Line4,1195,1121,3,60,Equipment Failure,Operator A,Google Form
2026-01-24,C,Line2,859,896,10,15,Material Shortage,Operator E,Manual CSV Upload
2026-01-12,C,Line3,966,894,16,89,Equipment Failure,Operator E,Manual CSV Upload
2026-02-08,B,Line1,1032,1031,18,85,Material Shortage,Operator D,Legacy Excel Log
2026-01-05,A,Line4,1190,1191,16,55,Changeover,Operator B,Legacy Excel Log
2026-04-04,A,Line1,1122,1090,7,85,Material Shortage,Operator A,Legacy Excel Log
2026-01-29,A,Line2,907,850,7,72,Changeover,Operator D,Google Form
2026-03-06,A,Line1,1193,1105,19,0,No Downtime,Operator E,Google Form
2026-04-06,C,Line1,892,779,3,47,Material Shortage,Operator A,Manual CSV Upload
2026-02-10,B,Line1,874,753,9,76,Material Shortage,Operator A,Manual CSV Upload
2026-04-19,B,Line1,1003,1025,1,34,Equipment Failure,Operator C,Legacy Excel Log
2026-04-14,B,Line3,1093,979,21,0,No Downtime,Operator A,Google Form
2026-02-14,B,Line2,1144,1089,25,30,Changeover,Operator D,Legacy Excel Log
2026-02-06,A,Line2,895,928,26,0,No Downtime,Operator A,Google Form
2026-01-21,C,Line2,1170,1154,31,28,Changeover,Operator B,Manual CSV Upload
2026-04-22,C,Line4,992,898,21,92,Changeover,Operator B,Legacy Excel Log
2026-03-27,A,Line1,983,983,4,0,No Downtime,Operator D,Google Form
2026-02-15,C,Line4,1155,1140,0,27,Material Shortage,Operator E,Manual CSV Upload
2026-01-05,B,Line4,1071,994,24,32,Changeover,Operator D,Manual CSV Upload
2026-04-22,C,Line2,1182,1227,34,40,Changeover,Operator E,Legacy Excel Log
2026-04-04,A,Line4,888,880,0,0,No Downtime,Operator B,Google Form
2026-02-19,A,Line2,1108,1100,3,67,Equipment Failure,Operator A,Manual CSV Upload
2026-04-07,B,Line1,984,862,18,0,No Downtime,Operator D,Manual CSV Upload
2026-03-12,B,Line3,1123,1052,5,28,Equipment Failure,Operator E,Google Form
2026-02-06,B,Line4,875,869,11,16,Material Shortage,Operator C,Manual CSV Upload
2026-01-03,B,Line4,1002,1048,1,105,Equipment Failure,Operator A,Google Form
2026-02-08,A,Line3,891,835,12,0,No Downtime,Operator E,Manual CSV Upload
2026-04-10,B,Line4,1111,1061,3,58,Changeover,Operator A,Google Form
2026-02-07,A,Line4,993,934,9,114,Equipment Failure,Operator B,Legacy Excel Log
2026-01-06,C,Line3,926,866,20,68,Changeover,Operator C,Manual CSV Upload
2026-02-16,A,Line2,1127,1078,29,49,Changeover,Operator A,Manual CSV Upload
2026-01-17,C,Line1,984,857,0,71,Equipment Failure,Operator C,Google Form
2026-01-01,B,Line4,1037,936,3,112,Equipment Failure,Operator C,Legacy Excel Log
2026-03-02,B,Line3,1106,1106,18,0,No Downtime,Operator C,Manual CSV Upload
2026-03-27,A,Line2,1175,1020,24,66,Material Shortage,Operator D,Manual CSV Upload
2026-02-04,C,Line2,1037,1025,0,43,Equipment Failure,Operator A,Manual CSV Upload
2026-04-12,A,Line3,1090,1091,4,63,Material Shortage,Operator C,Legacy Excel Log
2026-03-24,C,Line2,867,849,15,57,Equipment Failure,Operator E,Manual CSV Upload
2026-02-07,C,Line1,923,951,17,25,Changeover,Operator C,Manual CSV Upload
2026-02-12,A,Line2,945,819,3,85,Changeover,Operator B,Manual CSV Upload
2026-02-20,B,Line3,924,798,18,88,Material Shortage,Operator A,Google Form
2026-04-15,C,Line1,875,753,7,19,Material Shortage,Operator E,Legacy Excel Log
2026-04-16,B,Line4,922,883,17,0,No Downtime,Operator E,Legacy Excel Log
2026-04-02,B,Line3,897,936,26,0,No Downtime,Operator A,Legacy Excel Log
2026-01-12,B,Line4,1134,1134,10,0,No Downtime,Operator D,Manual CSV Upload
2026-01-16,A,Line3,929,830,7,65,Material Shortage,Operator E,Google Form
2026-02-13,C,Line4,873,794,21,0,No Downtime,Operator C,Google Form
2026-03-07,C,Line3,1165,1166,28,84,Equipment Failure,Operator E,Google Form
2026-03-14,B,Line3,984,912,25,0,No Downtime,Operator A,Legacy Excel Log
2026-03-21,A,Line1,943,844,8,37,Changeover,Operator A,Legacy Excel Log
2026-02-09,C,Line3,956,912,8,61,Changeover,Operator E,Legacy Excel Log
2026-01-07,C,Line2,936,973,15,22,Quality Issue,Operator B,Manual CSV Upload
2026-04-15,A,Line4,819,793,17,15,Cleaning,Operator C,Manual CSV Upload
2026-01-30,A,Line3,1019,983,20,29,Material Shortage,Operator D,Google Form
2026-03-09,A,Line2,971,952,6,54,Material Shortage,Operator D,Manual CSV Upload
2026-02-25,B,,1115,1098,25,22,Material Shortage,Operator A,Legacy Excel Log
2026-02-24,A,Line3,944,947,17,38,Equipment Failure,Operator D,Legacy Excel Log
2026-03-20,C,Line3,1061,942,21,38,Changeover,Operator B,Google Form
2026-02-24,A,Line1,1075,1031,2,119,Equipment Failure,Operator C,Google Form
2026-01-29,B,Line4,929,825,4,13,Cleaning,Operator E,Manual CSV Upload
2026-01-26,C,Line1,936,936,4,57,Equipment Failure,Operator B,Google Form
2026-04-24,B,Line1,1063,1022,9,54,Changeover,Operator D,Google Form
2026-03-02,C,Line4,1064,921,24,85,Equipment Failure,Operator A,Legacy Excel Log
2026-02-06,C,Line2,870,854,4,71,Material Shortage,Operator E,Manual CSV Upload
2026-02-16,B,Line2,1092,1009,15,0,No Downtime,Operator B,Google Form
2026-01-19,A,Line3,1063,921,2,0,No Downtime,Operator E,Legacy Excel Log
2026-03-13,C,Line2,961,922,27,0,No Downtime,Operator D,Legacy Excel Log
2026-03-30,C,Line3,1128,1031,2,15,Quality Issue,Operator B,Google Form
2026-03-31,B,Line3,1164,1214,23,68,Changeover,Operator C,Manual CSV Upload
2026-02-07,A,Line1,1171,1162,23,80,Changeover,Operator C,Legacy Excel Log
2026-03-14,A,Line3,1013,1039,5,0,No Downtime,Operator D,Manual CSV Upload
2026-03-15,B,Line1,1078,1084,11,30,Cleaning,Operator D,Manual CSV Upload
2026-04-29,C,Line2,1012,1022,8,0,No Downtime,Operator D,Legacy Excel Log
2026-03-12,D,Line1,1101,976,19,60,Material Shortage,Operator D,Manual CSV Upload
2026-04-24,C,Line2,1051,902,22,0,No Downtime,Operator C,Manual CSV Upload
2026-03-24,C,Line4,1072,984,10,0,No Downtime,Operator C,Duplicate CSV Upload
2026-03-06,C,Line1,1124,1023,7,69,Material Shortage,Operator D,Google Form
2026-02-13,A,Line4,1093,1027,26,35,Changeover,Operator D,Legacy Excel Log
2026-04-26,B,Line4,962,1006,23,0,No Downtime,Operator D,Legacy Excel Log
2026-01-17,A,Line3,964,965,15,25,Equipment Failure,Operator B,Google Form
2026-02-27,C,Line2,1108,1096,24,85,Material Shortage,Operator C,Legacy Excel Log
2026-04-27,A,Line1,1160,1092,18,39,Cleaning,Operator D,Google Form
2026-02-27,B,Line4,1060,995,1,0,No Downtime,Operator B,Manual CSV Upload
2026-01-24,B,Line3,1149,1138,16,80,Equipment Failure,Operator A,Manual CSV Upload
2026-01-12,A,Line4,1098,1079,29,108,Equipment Failure,Operator D,Google Form
2026-04-17,B,Line2,1036,901,21,22,Material Shortage,Operator B,Google Form
2026-04-12,C,Line1,873,890,18,36,Changeover,Operator A,Google Form
2026-04-22,A,Line4,800,838,10,0,No Downtime,Operator B,Legacy Excel Log
2026-01-10,A,Line4,1138,1040,4,88,Equipment Failure,Operator C,Manual CSV Upload
2026-03-05,C,Line3,1177,1220,23,52,Material Shortage,Operator C,Legacy Excel Log
2026-01-21,B,Line2,1115,978,6,32,Equipment Failure,Operator E,Manual CSV Upload
2026-01-16,B,Line3,1187,1087,1,37,Material Shortage,Operator D,Legacy Excel Log
2026-02-03,C,Line2,911,904,26,93,Equipment Failure,Operator A,Legacy Excel Log
2026-04-02,A,Line1,964,823,1,21,Cleaning,Operator A,Manual CSV Upload
2026-01-05,A,Line1,1043,1006,7,75,Equipment Failure,Operator A,Legacy Excel Log
2026-03-17,C,Line4,973,866,21,623,Changeover,Operator D,Legacy Excel Log
2026-04-13,A,Line3,837,776,10,49,Cleaning,Operator E,Google Form
2026-01-11,A,Line1,865,861,5,27,Equipment Failure,Operator C,Manual CSV Upload
2026-02-19,B,Line4,1074,1113,11,35,Cleaning,Operator A,Legacy Excel Log
2026-03-07,A,Line3,1082,944,0,24,Cleaning,Operator D,Manual CSV Upload
2026-04-22,A,Line1,1116,983,19,0,No Downtime,Operator C,Google Form
2026-04-13,B,Line4,-154,1135,11,58,Cleaning,Operator C,Google Form
2026-01-22,B,Line2,940,853,14,65,Material Shortage,Operator C,Google Form
2026-04-14,C,,1066,935,21,0,No Downtime,Operator E,Legacy Excel Log
2026-03-01,C,Line1,1128,1081,5,0,No Downtime,Operator C,Google Form
2026-04-29,C,Line3,1130,999,7,76,Changeover,Operator E,Legacy Excel Log
2026-04-16,B,Line2,814,754,3,23,Cleaning,Operator B,Duplicate CSV Upload
2026-01-13,C,Line4,867,892,8,24,Cleaning,Operator D,Manual CSV Upload
2026-01-28,C,Line2,1182,1130,12,35,Material Shortage,Operator C,Manual CSV Upload
2026-03-03,C,Line1,1172,1179,30,39,Cleaning,Operator A,Google Form
2026-04-04,B,Line4,813,828,16,86,Changeover,Operator E,Legacy Excel Log
2026-01-07,A,,1020,1046,3,63,Material Shortage,Operator D,Manual CSV Upload
2026-01-22,A,Line4,908,888,15,67,Equipment Failure,Operator B,Google Form
2026-01-06,B,Line1,1014,986,27,40,Quality Issue,Operator B,Google Form
2026-03-07,C,Line1,1022,924,27,0,No Downtime,Operator A,Legacy Excel Log
2026-02-14,A,Line3,1114,1102,23,106,Equipment Failure,Operator A,Google Form
2026-03-01,B,Line3,857,769,14,26,Equipment Failure,Operator C,Manual CSV Upload
2026-04-09,C,Line1,1119,962,28,12,Quality Issue,Operator A,Legacy Excel Log
2026-04-14,A,Line1,920,945,3,89,Changeover,Operator D,Legacy Excel Log
2026-04-18,C,Line1,840,799,4,0,No Downtime,Operator E,Manual CSV Upload
2026-04-10,A,Line2,925,949,7,36,Quality Issue,Operator A,Google Form
2026-01-25,A,Line2,826,854,4,41,Cleaning,Operator E,Google Form
2026-01-01,B,Line1,1029,1078,15,79,Material Shortage,Operator D,Legacy Excel Log
2026-03-29,B,Line1,1088,981,18,46,Cleaning,Operator A,Legacy Excel Log
2026-04-23,C,Line4,969,932,17,66,Changeover,Operator D,Google Form
2026-02-27,A,Line3,846,850,1,26,Cleaning,Operator B,Manual CSV Upload
2026-04-30,B,Line4,854,767,13,35,Cleaning,Operator C,Legacy Excel Log
2026-02-09,A,Line3,854,781,15,69,Quality Issue,Operator D,Legacy Excel Log
2026-04-18,A,Line3,963,959,24,0,No Downtime,Operator B,Manual CSV Upload
2026-01-04,B,Line3,1146,1201,7,74,Equipment Failure,Operator E,Google Form
2026-02-15,A,Line3,1070,999,4,102,Equipment Failure,Operator B,Manual CSV Upload
2026-03-19,B,Line3,827,789,10,0,No Downtime,Operator A,Legacy Excel Log
2026-04-05,B,Line1,1103,1007,22,95,Changeover,Operator A,Legacy Excel Log
2026-01-07,B,Line4,1009,998,21,53,Changeover,Operator C,Manual CSV Upload
2026-02-05,A,,1054,999,7,84,Material Shortage,Operator E,Google Form
2026-01-10,C,Line2,1116,987,19,49,Cleaning,Operator E,Google Form
2026-02-07,B,Line4,991,927,6,38,Material Shortage,Operator B,Google Form
2026-02-18,B,Line4,1005,870,14,55,Changeover,Operator A,Manual CSV Upload
2026-03-10,B,Line2,1106,951,17,62,Changeover,Operator A,Legacy Excel Log
2026-03-13,A,Line2,1156,1049,20,0,No Downtime,Operator D,Manual CSV Upload
2026-01-17,C,Line1,984,857,0,71,Equipment Failure,Operator C,Duplicate CSV Upload
2026-01-13,A,Line3,948,868,0,42,Changeover,Operator B,Manual CSV Upload
2026-02-27,C,Line4,845,750,4,72,Quality Issue,Operator E,Manual CSV Upload
2026-04-04,C,Line1,1032,877,16,43,Changeover,Operator A,Legacy Excel Log
2026-03-01,A,Line1,1189,1192,23,20,Material Shortage,Operator D,Legacy Excel Log
2026-03-05,C,,824,749,12,0,No Downtime,Operator E,Legacy Excel Log
2026-02-11,C,Line2,964,948,24,78,Material Shortage,Operator C,Legacy Excel Log
2026-03-06,B,Line2,847,787,17,90,Changeover,Operator B,Manual CSV Upload
2026-03-19,C,Line1,961,953,7,55,Equipment Failure,Operator C,Manual CSV Upload
2026-02-22,A,Line4,902,809,5,44,Material Shortage,Operator B,Google Form
2026-03-08,B,Line2,860,820,9,55,Material Shortage,Operator D,Manual CSV Upload
2026-02-18,C,Line1,854,727,5,86,Changeover,Operator E,Legacy Excel Log
2026-01-28,B,Line2,1139,1043,11,104,Equipment Failure,Operator E,Manual CSV Upload
2026-02-17,B,Line1,1136,1139,22,33,Quality Issue,Operator A,Legacy Excel Log
2026-04-13,B,Line3,1182,1164,11,0,No Downtime,Operator C,Google Form
2026-02-23,B,Line3,960,930,17,64,Changeover,Operator C,Manual CSV Upload
2026-01-15,C,Line2,1051,1083,20,60,Equipment Failure,Operator D,Google Form
2026-02-23,C,Line3,1112,980,10,67,Material Shortage,Operator C,Legacy Excel Log
2026-04-19,B,Line3,918,945,14,0,No Downtime,Operator C,Manual CSV Upload
2026-01-27,A,Line2,1078,1018,1,56,Changeover,Operator C,Google Form
2026-03-27,B,Line2,847,805,4,0,No Downtime,Operator B,Google Form
2026-03-03,A,Line1,1158,1065,18,39,Material Shortage,Operator D,Duplicate CSV Upload
